name,diameter_arcmin,note
IC1318,180,Gamma Cygni Nebula / Sadr Region -- full complex spanning 3 degrees
IC1396,170,Elephant's Trunk Nebula region in Cepheus
IC1805,150,Heart Nebula (Melotte 15 cluster + surrounding emission)
IC1848,120,Soul Nebula (W5 / Westerhout 5) in Cassiopeia
NGC7000,120,North America Nebula in Cygnus
IC5070,80,Pelican Nebula in Cygnus
IC5067,80,Pelican Nebula component (same as IC5070 region)
NGC6960,70,Western Veil Nebula (Witch's Broom) in Cygnus
NGC6992,65,Eastern Veil Nebula in Cygnus
NGC6995,65,Eastern Veil Nebula (southern arc) in Cygnus
NGC1499,145,California Nebula in Perseus
IC434,60,Horsehead Nebula / B33 / Flame Nebula region in Orion
NGC1976,65,Orion Nebula (M42) including full extent
NGC1977,40,Running Man Nebula in Orion
NGC2024,30,Flame Nebula in Orion
IC2118,180,Witch Head Nebula in Eridanus
NGC3372,120,Carina Nebula (Eta Carinae complex)
IC2177,120,Seagull Nebula in Monoceros
NGC2237,80,Rosette Nebula in Monoceros
NGC2244,80,Rosette Nebula (same complex as NGC2237)
IC443,50,Jellyfish Nebula in Gemini
NGC6888,20,Crescent Nebula in Cygnus
NGC281,35,Pacman Nebula in Cassiopeia
IC410,40,Tadpole Nebula in Auriga
IC405,30,Flaming Star Nebula in Auriga
NGC7380,25,Wizard Nebula in Cepheus
NGC7635,15,Bubble Nebula in Cassiopeia
NGC2359,8,Thor's Helmet in Canis Major
NGC7293,25,Helix Nebula in Aquarius
NGC7023,18,Iris Nebula in Cepheus
NGC7822,100,Cepheus emission nebula - Question Mark region
NGC1333,12,Perseus reflection nebula complex
NGC2264,45,Cone Nebula / Christmas Tree Cluster in Monoceros
NGC2174,40,Monkey Head Nebula in Orion
NGC6188,90,Fighting Dragons of Ara (NGC 6188 + NGC 6193)
NGC6357,60,Lobster Nebula / War and Peace Nebula in Scorpius
NGC6334,70,Cat's Paw Nebula in Scorpius
NGC6611,30,Eagle Nebula (M16) full extent
NGC6618,30,Omega Nebula (M17 / Swan Nebula) full extent
NGC6514,30,Trifid Nebula (M20) in Sagittarius
NGC6523,60,Lagoon Nebula (M8) in Sagittarius
IC4628,90,Prawn Nebula in Scorpius
NGC5367,15,Blue Horsehead reflection nebula in Centaurus
NGC3576,40,Statue of Liberty Nebula in Carina
NGC3603,12,Giant HII region in Carina
NGC3324,15,Gabriela Mistral Nebula in Carina
IC2944,65,Running Chicken Nebula in Centaurus
IC4604,45,Rho Ophiuchi reflection region (IC 4603 / IC 4604 complex)
